CITY,CITY_ID,TSEL,XL,ISAT,THREE,SMARTFREN,XL+,IOH
SIMEULUE,1101,83.56,8.56,2.67,6.11,1.15,9.41,8.52
ACEH SINGKIL,1102,59.26,4.81,38.98,4.53,0.96,5.58,42.01
ACEH SELATAN,1103,73.71,4.68,18.53,5.16,1.41,5.96,23.34
ACEH TENGGARA,1104,75.44,7.68,11.6,6.25,5.8,13.59,17.52
ACEH TIMUR,1105,76.82,11.59,1.24,13.25,0.83,12.29,14.44
ACEH TENGAH,1106,91.65,2.01,3.15,5.09,0.67,2.69,8.3
ACEH BARAT,1107,81.21,14.64,3.82,4.04,1.16,15.34,7.83
ACEH BESAR,1108,63.79,21.78,7.99,10.16,2.29,23.8,17.8
PIDIE,1109,65.55,19.16,3.33,15.82,1.22,20.28,19.01
BIREUEN,1110,64.87,21.65,1.47,15.68,1.1,22.61,17.56
ACEH UTARA,1111,70,18.41,2.16,12.25,1.16,19.74,14.58
ACEH BARAT DAYA,1112,73.08,10.45,5.24,8.52,5.82,16.46,13.85
GAYO LUES,1113,85.65,4.77,6.41,4.43,3.5,8.23,10.55
ACEH TAMIANG,1114,69.53,21.75,3.29,9.47,1.81,23.44,13
NAGAN RAYA,1115,86.04,4.78,8.12,3.58,0.86,5.42,11.77
ACEH JAYA,1116,87.72,7.12,4.32,2.83,0.65,7.75,7.28
BENER MERIAH,1117,88.31,4.46,4.1,5.45,1.55,5.97,9.41
PIDIE JAYA,1118,68.17,27.82,1.6,5.92,2.11,28,7.32
KOTA BANDA ACEH,1171,70.83,13.85,3.24,15.15,2.01,15.98,18.37
KOTA SABANG,1172,82.05,14.37,4.54,5.36,1.55,16.03,10.38
KOTA LANGSA,1173,67.27,17.34,1.42,16.87,1.35,18.12,18.56
KOTA LHOKSEUMAWE,1174,71.52,18.98,1.74,9.73,1.92,20.26,12.04
KOTA SUBULUSSALAM,1175,56.16,15.14,27.33,6.27,3.86,18.59,33.27
NIAS,1201,95,1.06,0.51,4.25,0,1.35,4.63
MANDAILING NATAL,1202,60.53,30.86,10.75,2.58,0.54,31.33,13.37
TAPANULI SELATAN,1203,66.37,25.32,6.92,6.35,0.7,25.29,13.5
TAPANULI TENGAH,1204,78.89,18.3,2.56,4.46,0.73,18.89,7.14
TAPANULI UTARA,1205,74.2,15.54,5.11,4.73,4.27,20.65,10.21
TOBA SAMOSIR,1206,71,14.98,4.15,3.96,9.57,24.41,7.96
LABUHAN BATU,1207,62.65,27.34,3.02,11.93,1.26,28.8,15.02
ASAHAN,1208,59.31,29.66,4.12,8.34,2.39,31.9,12.32
SIMALUNGUN,1209,55.88,31.13,4.08,8.67,4.52,35.67,12.86
DAIRI,1210,63.23,18.87,9.43,8.75,5.21,24.19,17.57
KARO,1211,57.19,21.21,12.88,11.37,2.5,23.97,23.81
DELI SERDANG,1212,44.56,33.09,10.5,13.42,3.79,36.7,23.69
LANGKAT,1213,49.9,38.67,5.92,8.9,1.46,40.06,14.76
NIAS SELATAN,1214,92.37,3.7,1.17,4.04,0.36,4.18,5.24
HUMBANG HASUNDUTAN,1215,76.74,16.43,3.95,4.1,4.72,20.49,7.56
PAKPAK BHARAT,1216,64.28,12.21,18.23,9.98,1.15,12.9,28.04
SAMOSIR,1217,76.56,15.95,5.73,3.12,2.97,18.76,8.8
SERDANG BEDAGAI,1218,38.71,44.76,8.45,10.06,3.39,47.95,18.35
BATU BARA,1219,49.47,31.58,6.85,11.94,4.56,35.56,18.64
PADANG LAWAS UTARA,1220,70.47,27.22,3.93,3.77,0.86,26.53,7.86
PADANG LAWAS,1221,71.64,23.27,8.58,2.28,0.52,23.59,10.58
LABUHAN BATU SELATAN,1222,70.85,20.56,4.93,8.55,0.74,21.38,13.75
LABUHAN BATU UTARA,1223,60.36,27.25,4.14,11.75,1.47,28.63,15.98
NIAS UTARA,1224,92.25,3.65,1.7,4.66,0.47,4.02,6.48
NIAS BARAT,1225,93.93,2.38,0.63,6.57,0,2.69,7.13
KOTA SIBOLGA,1271,79.54,17.19,1.97,6.83,0.96,18.32,8.54
KOTA TANJUNG BALAI,1272,49.57,41.11,3.92,8.95,1.48,41.53,12.33
KOTA PEMATANG SIANTAR,1273,56.92,31.29,3.58,9.46,3.81,34.93,13.01
KOTA TEBING TINGGI,1274,42.68,39.37,11.01,8.56,2.95,42.66,18.73
KOTA MEDAN,1275,46.8,27.29,11.61,16.05,4.7,31.85,27.26
KOTA BINJAI,1276,48.87,35.14,8.83,10.42,1.65,36.52,18.99
KOTA PADANGSIDIMPUAN,1277,63.29,27.46,7.6,9.08,0.92,28.63,16.84
