dates,Region,tsel,xl,isat,three,smartfren,xl+,ioh,level
06/28/2026,Area 1,54.5,23.37,12.64,10.51,3.67,26.89,22.97,Area
06/28/2026,Area 2,30.61,25.81,26.4,14.83,6.7,32.3,40.85,Area
06/28/2026,Area 3,36.13,22.04,25.32,10.13,9.68,31.52,35.21,Area
06/28/2026,Area 4,60.64,12.88,18.15,8.33,4.01,16.77,26.27,Area
06/28/2026,Sumbagut,58.97,24.92,7.46,10.55,3.04,27.85,17.86,Region
06/28/2026,Sumbagteng,64.26,20.5,6.75,9.58,2.8,23.19,16.22,Region
06/28/2026,Sumbagsel,44.45,23.83,20.91,11.07,4.76,28.41,31.71,Region
06/28/2026,Jakarta Banten,32.17,24.19,26.6,14.21,7.03,31,40.45,Region
06/28/2026,Eastern Jabotabek,25.81,21.53,34.27,15.98,6.76,28.12,49.78,Region
06/28/2026,Jabar,33.22,31.64,18.83,14.43,6.26,37.63,33.03,Region
06/28/2026,Jateng,29.09,19.91,26.22,12.95,15.75,35.36,38.83,Region
06/28/2026,Jatim,35.11,20.2,32.16,9.44,6.19,26.23,41.34,Region
06/28/2026,BaliNusra,52.89,30.05,10.37,5.57,3.52,33.47,15.87,Region
06/28/2026,Kalimantan,53.24,15.53,24.13,9.35,1.78,17.27,33.27,Region
06/28/2026,Sulawesi,57.7,14.01,16.89,9.32,6.71,20.54,25.99,Region
06/28/2026,Puma,94.22,0.5,5.04,1.26,0.14,0.62,6.31,Region
06/28/2026,Java,33.37,23.92,25.86,12.47,8.2,31.91,38.02,Area Group
06/28/2026,Non Java,57.09,18.85,15.07,9.57,3.82,22.54,24.45,Area Group
06/28/2026,National,43.17,21.8,21.38,11.25,6.39,28.01,32.37,Nationwide
06/28/2026,Basic,59.31,19.87,12.93,9.51,3.09,22.81,22.27,Archetype
06/28/2026,Compete,32.21,24.47,26.23,12.87,8.25,32.5,38.78,Archetype
06/28/2026,Fortress,84.68,6.61,7,3.48,0.97,7.56,10.37,Archetype
06/28/2026,Super Fortress,94.15,0.8,4.55,1.75,0.16,0.94,6.26,Archetype
06/28/2026,Compete AREA 2,30.61,25.81,26.4,14.83,6.7,32.3,40.85,Archetype Area
06/28/2026,Compete AREA 3,31.26,22.78,27.75,10.86,10.77,33.32,38.34,Archetype Area
06/28/2026,Basic AREA 1,54.69,24.52,10.96,11.13,3.66,28.03,21.91,Archetype Area
06/28/2026,Basic AREA 2,33.82,22.8,24.93,15.5,7.4,29.96,40.04,Archetype Area
06/28/2026,Basic AREA 3,50.06,26.23,15.02,6.59,4.79,30.78,21.44,Archetype Area
06/28/2026,Basic AREA 4,48.14,17.37,22.46,10.98,5.74,22.96,33.19,Archetype Area
06/28/2026,Fortress AREA 1,75.93,13.45,7.23,5.38,1.49,14.87,12.55,Archetype Area
06/28/2026,Fortress AREA 3,87.98,4.58,4.59,4.77,0.94,5.53,9.26,Archetype Area
06/28/2026,Fortress AREA 4,78.33,6.64,12.84,4.49,1.11,7.7,17.23,Archetype Area
06/28/2026,Super Fortress AREA 1,92.63,2.83,1.1,5.02,0.33,3.05,6.2,Archetype Area
06/28/2026,Super Fortress AREA 4,94.19,0.51,5.05,1.27,0.13,0.64,6.28,Archetype Area
